sentiment,review_body,product_category
-1,So much extra fabric. not something i would recommend buying online.,Blouses
-1,This shirt is so small. i am not sure who came up with the sizing but you have to go up several sizes to get a comfortable fit. don't waste your time on this shirt. such a shame  it could have been very cute.,Blouses
-1,"This top is crazy in the front and just way-off when it comes to a cross-over drape. the top did not lay flat and the drape over has one snap which seemed to ""bloop"" open constantly. the bottom in the front is a strange combination of layers that i couldn't get to look good.  i'm busty  but this isn't the reason this blouse is just a disaster of a fit on me. the blouse fits tts and everything was covered  so it's not like it was too small and tugged. that's not the case. this blouse just didn't",Blouses
-1,I should have read the reviews first before ordering this top/!. ***buyers beware**: you will not get the same top delivered to you  as is shown in this picture. the top i got delivered does not have the little straps at all  and while there is a bow in the back  the back sides do not come together the same to form the bow. i hate to write a bad review  but come on retailer! i'd never expect this from you. it looks like any other peplum white top  not something special like the picture is o,Blouses
-1,I did not like this top at all-but had i looked at the fabric prior to purchasing i would not have. it is polyester-i thought it was cotton so there's the first reason i didn't like it. secondly  there is a piece of fabric behind the laces  presumably for modesty that refuses to lay flat. it wrinkles up behind the lacing  making it appear as if one is wearing an undershirt or cami that is not appropriate for the top. it is too long for me  the top hitting at top of thigh.  this top is just reall,Blouses
-1,I'm normally a small in retailer tops. i ordered a small  and the top fit well in the shoulders and in the upper (more fitted) part. it all went horribly wrong from there. the top billowed out at the bottom and fit like a circus tent  instantly adding a good 50 pounds to my frame. this was such a disappointment  as the pattern is beautiful and the fabric is high quality.,Blouses
-1,The quality is good  as is the design idea  but  practically  it doesn't work. ordered an xs and the top still ballooned out stiffly. this top is not soft or flowy  it is stiff and very wide.,Blouses
-1,I love maeve but this shirt's quality was poor and it was not worth the price. i would not recommend buying this online. you really need to try the blouse on in the store to make the decision as to if its worth purchasing or not...... and in my case this is being sent back.,Blouses
-1,On my screen this looked like burnt oranges were mixed with pink but this was all pink & very washed put pinks - looked awful on me as brunette. maybe will work for someone who likes pastels. overall style was also disappointing- just hung. this went back.,Blouses
0,"I bought this online in my usual size (petite xxs) for in-store pickup. when i tried it on  the kindest word to describe it would be ""voluminous""--it was at least 2 sizes too big on me. i looked like i had taken grandma's tablecloth and constructed a homemade blouse. the blouse comes with an attached cami  which was also way too big for me. the color is not white (as described)  but rather an ivory/cream color--definitely not the best shade for my light olive skin. i do think that it looks lovel",Blouses
0,Super large and a very weird cut.  the sides were much shorter than the front and back and this just looked awful on me.,Blouses
0,This shirt has a vibrant color and beautiful neck line  but unfortunately i had to send it back. it is short waisted with a lot of material in the back. had it been 1-2 inches longer it may flare out  but based on the length on me  it ended up looking like a shrunken tent. for reference  i am 5'8 with a long torso.,Blouses
0,This top is very nice. i ordered it in black  it looked very good. the embroidery and pleated details give it a very nice look. the fabric  however  feels like heavy cotton. it didn't feel very soft and comfortable  it was a bit hard for me to wear because i usually prefer soft cotton. while i think this will retain it's shape and not stretch like softer cotton  i am sending it back. it felt a bit heavy to wear.,Blouses
0,This model looks like a bauble head. she is absolutely too thin and sends the wrong message out to retailer shoppers. this last catalog's models are anorexic and unhealthy looking.    i ordered this shirt hoping it would fit  but it's too small for 34dd. i am tall athletic and have breasts.   i think of my shape as average - and the top didn't fit. it's cut narrow and small.,Blouses
0,"Really wanted to like this top. the model has it on backwards - the ""v"" is actually the back and closes with an eye hook (that is where the tag is ? there's also a seam running down the back). the front is actually a high round neck. the material has a metallic thread and felt rather scratchy cheap. i'm usually a s or xs. in this top the s had too much material at the bottom and flared out strangely. the xs was too short in the front and moving your arms caused it to ride up.",Blouses
0,"I loved this blouse  but had to return. i am 5'2""  127 lbs. 36d. i found that the blouse was tight in the bust and very wide in the shoulders. the sleeves are puffy  which is fine  but the wideness is from edge of the bib to where the sleeve is attached and therefore the top did not lay flat. if you have wide shoulders and a small bust - this blouse will be perfect for you. i liked the material  it was thin but perfect for a summer nights.",Blouses
0,I have mixed feelings about htis top  it is a nice shape and comfortable  fits triue t o size  but hte fabric is thin adn sheer. i decided to keep in mind if it goes on sale. the 0 fit me perfectly. (115 lbs  3-dd chest).,Blouses
0,Loved the look of this shirt on the hanger. however when on  i found that it puffed out in the back. it's fitted through the shoulders and mid-back but the bottom rounds out and creates a lower hump. maybe it wouldn't on someone taller? also  although this wasn't a con for me  the shirt is darker than appears online.,Blouses
1,I am an retailer employee and this top just screamed my name when it arrived in our store. i love the colors and the feminine flair of this top. i am short and this top is a little longer on me than pictured on the model. i like the fact that it is a bit longer  it helps cover up some of my extra assets. the top is to big at the arm holes which is the story i have heard from my customers who did not purchase the top even though they loved it. i should have purchased the xxs online  it would,Blouses
1,I love this top! it is a perfect summer staple but for me it was too short. i sized up to fix this problem because i prefer the boho  flowy look. it is flowy on it's own but i felt it lacked length so went up a size. waiting for my retailer mail with anticipation!,Blouses
1,This top is really pretty and i received a lot of compliments on it. i said it ran true to size  but really the torso part runs a little big. if i had sized down  i think it would have been too tight in the arms. the cami that came with it kept falling out  which is no big deal  but be aware that the strings might not hold the cami with the shirt. overall  it's a really pretty blue and the details make it worth it.,Blouses
